Dato,Tid,Produkt,ISIN,Referansebørs,Venue,Antall,Pris,,Lokal verdi,,Verdi,,Vekslingskurs,Transaction and/or third,,Totalt,,Ordre-ID
25-10-2021,18:32,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,1,308.6000,USD,-308.60,USD,-2579.23,NOK,0.1196,-4.85,NOK,-2584.08,NOK,53c018bb-58e6-4b5a-b870-b182ef38ab32
25-10-2021,18:32,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,7,308.6700,USD,-2160.69,USD,-18057.50,NOK,0.1197,-5.11,NOK,-18062.61,NOK,e0eb761a-6462-460b-bca9-b80fbe26cce2
25-10-2021,18:31,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,4,2749.2600,USD,-10997.04,USD,-91904.44,NOK,0.1197,-0.17,NOK,-91904.61,NOK,96caf5c8-c8d1-48fa-a3fa-ab520f4f1f5e
25-10-2021,18:31,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,2,2748.9400,USD,-5497.88,USD,-45946.87,NOK,0.1197,-4.93,NOK,-45951.81,NOK,96caf5c8-c8d1-48fa-a3fa-ab520f4f1f5e
25-10-2021,18:30,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,99,308.5800,USD,-30549.42,USD,-255308.50,NOK,0.1197,-8.19,NOK,-255316.69,NOK,90636dcb-2123-4bc8-9735-778ddf647842
22-10-2021,17:26,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-98,308.8700,USD,30269.26,USD,253356.72,NOK,0.1195,-8.13,NOK,253348.59,NOK,ae7be6d0-5f4e-4dce-9c0e-75e842e645ef
22-10-2021,17:26,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,-129,149.1314,USD,19237.95,USD,161045.68,NOK,0.1195,-9.22,NOK,161036.46,NOK,f5aad293-3d8f-417c-969a-9eb039c5351f
06-10-2021,15:47,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,4,140.0500,USD,-560.20,USD,-4807.55,NOK,0.1165,-5.13,NOK,-4812.68,NOK,cf35e8ca-de7f-4614-adb6-7e3a7e9fbb38
05-10-2021,15:39,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,15,139.8000,USD,-2097.00,USD,-17937.96,NOK,0.1169,-5.47,NOK,-17943.44,NOK,558886e0-e96c-470c-9073-45e0832b2759
05-10-2021,15:38,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,76,139.5900,USD,-10608.84,USD,-90759.23,NOK,0.1169,-2.57,NOK,-90761.80,NOK,5cfd7277-f29a-4637-b5d3-88fa531fac35
05-10-2021,15:38,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,17,139.5850,USD,-2372.95,USD,-20300.68,NOK,0.1169,-0.60,NOK,-20301.28,NOK,5cfd7277-f29a-4637-b5d3-88fa531fac35
05-10-2021,15:38,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,17,139.5850,USD,-2372.95,USD,-20300.68,NOK,0.1169,-5.56,NOK,-20306.24,NOK,5cfd7277-f29a-4637-b5d3-88fa531fac35
05-10-2021,15:37,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,98,284.2700,USD,-27858.46,USD,-238323.50,NOK,0.1169,-8.30,NOK,-238331.79,NOK,19481d18-3f2b-40b3-9acf-38f86d30412c
04-10-2021,15:46,MICROSOFT CORPORATION,US5949181045,NDQ,MSPL,-100,284.2800,USD,28428.00,USD,243585.68,NOK,0.1167,-8.42,NOK,243577.26,NOK,64bf93ae-faa6-4a33-8d7b-57f10ee5449a
04-10-2021,15:45,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,-24,140.7000,USD,3376.80,USD,28932.25,NOK,0.1167,-0.82,NOK,28931.43,NOK,f4106be7-b44e-409b-b4a8-8580b1ae6a9c
04-10-2021,15:45,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,-100,140.7000,USD,14070.00,USD,120551.03,NOK,0.1167,-8.42,NOK,120542.61,NOK,f4106be7-b44e-409b-b4a8-8580b1ae6a9c
01-10-2021,15:33,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,2,281.8100,USD,-563.62,USD,-4860.86,NOK,0.1160,-5.08,NOK,-4865.94,NOK,e4bb0f95-ef61-46f9-8a9d-27f5e81d7afc
01-10-2021,15:33,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,10,281.5500,USD,-2815.50,USD,-24286.56,NOK,0.1159,-5.36,NOK,-24291.92,NOK,53a421ae-53ed-413d-a7d3-511c4d8dba18
01-10-2021,15:33,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,10,281.5300,USD,-2815.30,USD,-24287.26,NOK,0.1159,-5.36,NOK,-24292.62,NOK,2fc19e37-ac48-4d9f-aeaa-e4e21c9a1365
01-10-2021,15:32,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,78,281.7000,USD,-21972.60,USD,-189560.74,NOK,0.1159,-7.70,NOK,-189568.44,NOK,d7572df3-e0a6-48d7-abc5-7079cf39f1c4
01-10-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,124,141.8000,USD,-17583.20,USD,-151709.43,NOK,0.1159,-9.29,NOK,-151718.72,NOK,2bad193f-4bfc-47af-9873-5dac3375d7ba
